,Job Title,Company,Description
648,Behavioral Optometrist,LaSante Health Center,"Doctor of Optometry (OD) Degree.
Minimum of two years of work experience preferred."
649,Psychologist Telemedicine,Doctor On Demand,"Through live video visits, our hand-picked, US-trained doctors take patient history, perform an exam, and recommend a treatment plan."
650,Staff Software Engineer,Capsule,"Own and build key components of our internal systems.
Write high quality, clean code that can be read by humans and computers alike.
A CS degree or equivalent."
651,"Sr. Program Manager, Real Estate Entitlements",Amazon.com Services LLC,"5+ years of relevant real estate experience, including serving in a planning, zoning or land use capacity.
Strong written and oral communication skills."
652,Grants & Operations Manager,Weill Cornell Medicine,"Under guidance, the Grants and Operations Manager is responsible for managing the daily fiscal and administrative operations associated with research grant…"
653,Principle Pen Tester - Red Team - HBO Max,HBO Max,The principle will lead hunts for vulnerabilities that could lead to a data breach or IT disruption and collaborates with his/her peers in the Cyber Security…
654,Home Care Marketer,True Careny,"Schedule and present information about True Care’s programs and services to the community organizations, including doctors’ offices, hospitals, nursing homes,…"
655,Physician,KNOWNOW,"Conducting routine screens on KnowNOW patients to assess their health condition and diagnose, test and treat possible sexually transmitted infections and Women…"
656,Wound Care Doctor,Fairview Nursing Care Center,"By participating in developing, implementing and maintaining standards of nursing practice.
Monitoring patients and documenting progress."
657,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
658,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
659,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
660,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
661,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
662,Oral Surgery Assistant,The Hershman Group,"Job will be to assist the doctor chair side, taking digital x-rays and scans, using computers to update electronic patient records, cleaning and sterilizing…"
663,"Manager, Expansion Operations",Alto Pharmacy,"Because staying on track with doctor's orders requires more than just delivering pills, we're managing everything from insurance logistics to pricing, late…"
664,Clinical Operations Manager,Capital Rx,"Develop and maintain programs including formulary development, utilization management, and disease management programs.
Support RFI and RFP submissions."
665,"Senior Strategist, Paid Social (Temp-to-Perm)",Nutrafol,"The Senior Strategist, Paid Social (Marketing Channel Strategist, Paid Social) will contribute to Nutrafol’s growth by creating, innovating, and driving the…"
666,Afterschool Activity Specialist for SONYC,The Leadership Program,Of Health fingerprinting; provide a doctor's note certifying good health; proof of negative results from TB test; and State Central Registry (SCR) clearance.
667,Dental Office Manager,Dental Care Alliance,"Responds to doctor, patient and employee grievances, complaints, and inquiries and seeks assistance when necessary.
401k to name a few."
668,Pharmacy Clerk,ahma Rx,"The clerk will directly interact with patients and customers, work with the Pharmacist and rest of the Pharmacy team in providing excellent patient care and…"
669,Staff Accountant,CheckedUp,"Location: New York City; Full Time.
CheckedUp is looking for an Staff Accounting to keep our company and clients’ numbers and budgets on track with unwavering…"
670,Optometrist,Physician Affiliate Group of NY,"Perform vision tests and analyze results.
Diagnose sight problems, such as nearsightedness or farsightedness and eye diseases, such as glaucoma."
671,Per Diem Staff Pharmacist-NY,"PillPack, LLC","Flexibility with schedule and willingness to be on call.
Doctor of Pharmacy (PharmD) degree.
1+ years experience in retail, LTC, or mail-order pharmacy."
672,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
673,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
674,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
675,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
676,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
